Ortschaftsname;PLZ;Gemeindename;BFS-Nr;Kantonskürzel;Gültig ab
Wildhaus;9658;Wildhaus-Alt St. Johann;3359;SG;01.01.2025
Urnäsch;9107;Nesslau;3360;SG;01.01.2025
Hemberg;9633;Nesslau;3360;SG;01.01.2025
Krummenau;9643;Nesslau;3360;SG;01.01.2025
Nesslau;9650;Nesslau;3360;SG;01.01.2025
Ennetbühl;9651;Nesslau;3360;SG;01.01.2025
Neu St. Johann;9652;Nesslau;3360;SG;01.01.2025
Stein SG;9655;Nesslau;3360;SG;01.01.2025
Lichtensteig;9620;Lichtensteig;3374;SG;01.01.2025
Ricken SG;8726;Wattwil;3379;SG;01.01.2025
Dietfurt;9615;Wattwil;3379;SG;01.01.2025
Lichtensteig;9620;Wattwil;3379;SG;01.01.2025
Krinau;9622;Wattwil;3379;SG;01.01.2025
Wattwil;9630;Wattwil;3379;SG;01.01.2025
Ulisbach;9631;Wattwil;3379;SG;01.01.2025
Hemberg;9633;Wattwil;3379;SG;01.01.2025
Ebnat-Kappel;9642;Wattwil;3379;SG;01.01.2025
Fischingen;8376;Kirchberg (SG);3392;SG;01.01.2025
Wil SG;9500;Kirchberg (SG);3392;SG;01.01.2025
Rickenbach b. Wil;9532;Kirchberg (SG);3392;SG;01.01.2025
Kirchberg SG;9533;Kirchberg (SG);3392;SG;01.01.2025
Dietschwil;9533;Kirchberg (SG);3392;SG;01.01.2025
Gähwil;9534;Kirchberg (SG);3392;SG;01.01.2025
Lütisburg Station;9601;Kirchberg (SG);3392;SG;01.01.2025
Bazenheid;9602;Kirchberg (SG);3392;SG;01.01.2025
Müselbach;9602;Kirchberg (SG);3392;SG;01.01.2025
Mühlrüti;9613;Kirchberg (SG);3392;SG;01.01.2025
Nassen;9123;Lütisburg;3393;SG;01.01.2025
Jonschwil;9243;Lütisburg;3393;SG;01.01.2025
Lütisburg Station;9601;Lütisburg;3393;SG;01.01.2025
Bazenheid;9602;Lütisburg;3393;SG;01.01.2025
Lütisburg;9604;Lütisburg;3393;SG;01.01.2025
Oberrindal;9604;Lütisburg;3393;SG;01.01.2025
Unterrindal;9604;Lütisburg;3393;SG;01.01.2025
Ganterschwil;9608;Lütisburg;3393;SG;01.01.2025
Au TG;8376;Mosnang;3394;SG;01.01.2025
Steg im Tösstal;8496;Mosnang;3394;SG;01.01.2025
Lütisburg Station;9601;Mosnang;3394;SG;01.01.2025
Mosnang;9607;Mosnang;3394;SG;01.01.2025
Dreien;9612;Mosnang;3394;SG;01.01.2025
Mühlrüti;9613;Mosnang;3394;SG;01.01.2025
Libingen;9614;Mosnang;3394;SG;01.01.2025
Dietfurt;9615;Mosnang;3394;SG;01.01.2025
Wattwil;9630;Mosnang;3394;SG;01.01.2025
Lütisburg Station;9601;Bütschwil-Ganterschwil;3395;SG;01.01.2025
Bütschwil;9606;Bütschwil-Ganterschwil;3395;SG;01.01.2025
Ganterschwil;9608;Bütschwil-Ganterschwil;3395;SG;01.01.2025
Libingen;9614;Bütschwil-Ganterschwil;3395;SG;01.01.2025
Dietfurt;9615;Bütschwil-Ganterschwil;3395;SG;01.01.2025
Lichtensteig;9620;Bütschwil-Ganterschwil;3395;SG;01.01.2025
Oberhelfenschwil;9621;Bütschwil-Ganterschwil;3395;SG;01.01.2025
Schwellbrunn;9103;Neckertal;3396;SG;01.01.2025
Schönengrund;9105;Neckertal;3396;SG;01.01.2025
Urnäsch;9107;Neckertal;3396;SG;01.01.2025
Degersheim;9113;Neckertal;3396;SG;01.01.2025
Hoffeld;9114;Neckertal;3396;SG;01.01.2025
Dicken;9115;Neckertal;3396;SG;01.01.2025
Wolfertswil;9116;Neckertal;3396;SG;01.01.2025
Mogelsberg;9122;Neckertal;3396;SG;01.01.2025
Ebersol;9122;Neckertal;3396;SG;01.01.2025
Nassen;9123;Neckertal;3396;SG;01.01.2025
Brunnadern;9125;Neckertal;3396;SG;01.01.2025
Necker;9126;Neckertal;3396;SG;01.01.2025
St. Peterzell;9127;Neckertal;3396;SG;01.01.2025
Lichtensteig;9620;Neckertal;3396;SG;01.01.2025
Oberhelfenschwil;9621;Neckertal;3396;SG;01.01.2025
Wattwil;9630;Neckertal;3396;SG;01.01.2025
Hemberg;9633;Neckertal;3396;SG;01.01.2025
Bächli (Hemberg);9633;Neckertal;3396;SG;01.01.2025
Degersheim;9113;Degersheim;3401;SG;01.01.2025
Wolfertswil;9116;Degersheim;3401;SG;01.01.2025
Flawil;9230;Degersheim;3401;SG;01.01.2025
Degersheim;9113;Flawil;3402;SG;01.01.2025
Gossau SG;9200;Flawil;3402;SG;01.01.2025
Flawil;9230;Flawil;3402;SG;01.01.2025
Egg (Flawil);9231;Flawil;3402;SG;01.01.2025
Oberuzwil;9242;Jonschwil;3405;SG;01.01.2025
Jonschwil;9243;Jonschwil;3405;SG;01.01.2025
Rickenbach b. Wil;9532;Jonschwil;3405;SG;01.01.2025
Schwarzenbach SG;9536;Jonschwil;3405;SG;01.01.2025
Oberrindal;9604;Jonschwil;3405;SG;01.01.2025
Flawil;9230;Oberuzwil;3407;SG;01.01.2025
Niederglatt SG;9240;Oberuzwil;3407;SG;01.01.2025
Oberuzwil;9242;Oberuzwil;3407;SG;01.01.2025
Niederuzwil;9244;Oberuzwil;3407;SG;01.01.2025
Bichwil;9248;Oberuzwil;3407;SG;01.01.2025
Oberrindal;9604;Oberuzwil;3407;SG;01.01.2025
Uzwil;9240;Uzwil;3408;SG;01.01.2025
Oberuzwil;9242;Uzwil;3408;SG;01.01.2025
Niederuzwil;9244;Uzwil;3408;SG;01.01.2025
Henau;9247;Uzwil;3408;SG;01.01.2025
Algetshausen;9249;Uzwil;3408;SG;01.01.2025
Niederstetten;9249;Uzwil;3408;SG;01.01.2025
Oberstetten;9249;Uzwil;3408;SG;01.01.2025
Schwarzenbach SG;9536;Uzwil;3408;SG;01.01.2025
Gossau SG;9200;Niederbüren;3422;SG;01.01.2025
Niederwil SG;9203;Niederbüren;3422;SG;01.01.2025
Niederbüren;9246;Niederbüren;3422;SG;01.01.2025
Schweizersholz;9223;Niederhelfenschwil;3423;SG;01.01.2025
Oberbüren;9245;Niederhelfenschwil;3423;SG;01.01.2025
Sonnental;9245;Niederhelfenschwil;3423;SG;01.01.2025
Zuzwil SG;9524;Niederhelfenschwil;3423;SG;01.01.2025
Lenggenwil;9525;Niederhelfenschwil;3423;SG;01.01.2025
Zuckenriet;9526;Niederhelfenschwil;3423;SG;01.01.2025
Niederhelfenschwil;9527;Niederhelfenschwil;3423;SG;01.01.2025
Niederwil SG;9203;Oberbüren;3424;SG;01.01.2025
Flawil;9230;Oberbüren;3424;SG;01.01.2025
Niederglatt SG;9240;Oberbüren;3424;SG;01.01.2025
Oberbüren;9245;Oberbüren;3424;SG;01.01.2025
Sonnental;9245;Oberbüren;3424;SG;01.01.2025
Wil SG;9500;Zuzwil (SG);3426;SG;01.01.2025
Hosenruck;9515;Zuzwil (SG);3426;SG;01.01.2025
Züberwangen;9523;Zuzwil (SG);3426;SG;01.01.2025
Zuzwil SG;9524;Zuzwil (SG);3426;SG;01.01.2025
Wil SG;9500;Wil (SG);3427;SG;01.01.2025
Rossrüti;9512;Wil (SG);3427;SG;01.01.2025
Wuppenau;9514;Wil (SG);3427;SG;01.01.2025
Zuzwil SG;9524;Wil (SG);3427;SG;01.01.2025
Schwarzenbach SG;9536;Wil (SG);3427;SG;01.01.2025
St. Margarethen TG;9543;Wil (SG);3427;SG;01.01.2025
Bronschhofen;9552;Wil (SG);3427;SG;01.01.2025
Andwil SG;9204;Andwil (SG);3441;SG;01.01.2025
Arnegg;9212;Andwil (SG);3441;SG;01.01.2025
Abtwil SG;9030;Gaiserwald;3442;SG;01.01.2025
St. Josefen;9030;Gaiserwald;3442;SG;01.01.2025
Engelburg;9032;Gaiserwald;3442;SG;01.01.2025
Wittenbach;9300;Gaiserwald;3442;SG;01.01.2025
St. Gallen;9015;Gossau (SG);3443;SG;01.01.2025
Abtwil SG;9030;Gossau (SG);3443;SG;01.01.2025
Herisau;9100;Gossau (SG);3443;SG;01.01.2025
Gossau SG;9200;Gossau (SG);3443;SG;01.01.2025
Andwil SG;9204;Gossau (SG);3443;SG;01.01.2025
Arnegg;9212;Gossau (SG);3443;SG;01.01.2025
Engelburg;9032;Waldkirch;3444;SG;01.01.2025
Andwil SG;9204;Waldkirch;3444;SG;01.01.2025
Waldkirch;9205;Waldkirch;3444;SG;01.01.2025
Hauptwil;9213;Waldkirch;3444;SG;01.01.2025
Niederbüren;9246;Waldkirch;3444;SG;01.01.2025
Wittenbach;9300;Waldkirch;3444;SG;01.01.2025
Bernhardzell;9304;Waldkirch;3444;SG;01.01.2025
Parpan;7076;Vaz/Obervaz;3506;GR;01.01.2025
Valbella;7077;Vaz/Obervaz;3506;GR;01.01.2025
Lenzerheide/Lai;7078;Vaz/Obervaz;3506;GR;01.01.2025
Vaz/Obervaz;7082;Vaz/Obervaz;3506;GR;01.01.2025
Tiefencastel;7450;Vaz/Obervaz;3506;GR;01.01.2025
Lantsch/Lenz;7083;Lantsch/Lenz;3513;GR;01.01.2025
Schmitten (Albula);7493;Schmitten (GR);3514;GR;01.01.2025
Brienz/Brinzauls GR;7084;Albula/Alvra;3542;GR;01.01.2025
Tiefencastel;7450;Albula/Alvra;3542;GR;01.01.2025
Alvaschein;7451;Albula/Alvra;3542;GR;01.01.2025
Mon;7458;Albula/Alvra;3542;GR;01.01.2025
Stierva;7459;Albula/Alvra;3542;GR;01.01.2025
Surava;7472;Albula/Alvra;3542;GR;01.01.2025
Alvaneu Bad;7473;Albula/Alvra;3542;GR;01.01.2025
Alvaneu Dorf;7492;Albula/Alvra;3542;GR;01.01.2025
Cunter;7452;Surses;3543;GR;01.01.2025
Tinizong;7453;Surses;3543;GR;01.01.2025
Rona;7454;Surses;3543;GR;01.01.2025
Mulegns;7455;Surses;3543;GR;01.01.2025
Sur;7456;Surses;3543;GR;01.01.2025
Marmorera;7456;Surses;3543;GR;01.01.2025
Bivio;7457;Surses;3543;GR;01.01.2025
Savognin;7460;Surses;3543;GR;01.01.2025
Salouf;7462;Surses;3543;GR;01.01.2025
Riom;7463;Surses;3543;GR;01.01.2025
Riom;7463;Surses;3543;GR;01.01.2025
Parsonz;7464;Surses;3543;GR;01.01.2025
Filisur;7477;Bergün Filisur;3544;GR;01.01.2025
Bergün/Bravuogn;7482;Bergün Filisur;3544;GR;01.01.2025
Preda;7482;Bergün Filisur;3544;GR;01.01.2025
Stugl/Stuls;7482;Bergün Filisur;3544;GR;01.01.2025
Latsch;7484;Bergün Filisur;3544;GR;01.01.2025
Davos Wiesen;7494;Bergün Filisur;3544;GR;01.01.2025
Brusio;7743;Brusio;3551;GR;01.01.2025
Miralago;7743;Brusio;3551;GR;01.01.2025
Campocologno;7744;Brusio;3551;GR;01.01.2025
Viano;7747;Brusio;3551;GR;01.01.2025
Campascio;7748;Brusio;3551;GR;01.01.2025
Ospizio Bernina;7710;Poschiavo;3561;GR;01.01.2025
Alp Grüm;7710;Poschiavo;3561;GR;01.01.2025
S. Carlo (Poschiavo);7741;Poschiavo;3561;GR;01.01.2025
Poschiavo;7742;Poschiavo;3561;GR;01.01.2025
Sfazù;7742;Poschiavo;3561;GR;01.01.2025
La Rösa;7742;Poschiavo;3561;GR;01.01.2025
Miralago;7743;Poschiavo;3561;GR;01.01.2025
Li Curt;7745;Poschiavo;3561;GR;01.01.2025
Le Prese;7746;Poschiavo;3561;GR;01.01.2025
Laax GR 2;7032;Falera;3572;GR;01.01.2025
Falera;7153;Falera;3572;GR;01.01.2025
Laax GR;7031;Laax;3575;GR;01.01.2025
Laax GR 2;7032;Laax;3575;GR;01.01.2025
Sagogn;7152;Sagogn;3581;GR;01.01.2025
Schluein;7151;Schluein;3582;GR;01.01.2025
St. Martin (Lugnez);7116;Vals;3603;GR;01.01.2025
Vals;7132;Vals;3603;GR;01.01.2025
Peiden;7110;Lumnezia;3618;GR;01.01.2025
Camuns;7113;Lumnezia;3618;GR;01.01.2025
Uors (Lumnezia);7114;Lumnezia;3618;GR;01.01.2025
Surcasti;7115;Lumnezia;3618;GR;01.01.2025
Tersnaus;7116;Lumnezia;3618;GR;01.01.2025
Cumbel;7142;Lumnezia;3618;GR;01.01.2025
Morissen;7143;Lumnezia;3618;GR;01.01.2025
Vella;7144;Lumnezia;3618;GR;01.01.2025
Degen;7145;Lumnezia;3618;GR;01.01.2025
Vattiz;7146;Lumnezia;3618;GR;01.01.2025
Vignogn;7147;Lumnezia;3618;GR;01.01.2025
Lumbrein;7148;Lumnezia;3618;GR;01.01.2025
Vrin;7149;Lumnezia;3618;GR;01.01.2025
Pitasch;7111;Ilanz/Glion;3619;GR;01.01.2025
Duvin;7112;Ilanz/Glion;3619;GR;01.01.2025
Valendas;7122;Ilanz/Glion;3619;GR;01.01.2025
Castrisch;7126;Ilanz/Glion;3619;GR;01.01.2025
Sevgein;7127;Ilanz/Glion;3619;GR;01.01.2025
Riein;7128;Ilanz/Glion;3619;GR;01.01.2025
Ilanz;7130;Ilanz/Glion;3619;GR;01.01.2025
Schnaus;7130;Ilanz/Glion;3619;GR;01.01.2025
Schnaus;7130;Ilanz/Glion;3619;GR;01.01.2025
Luven;7141;Ilanz/Glion;3619;GR;01.01.2025
Ruschein;7154;Ilanz/Glion;3619;GR;01.01.2025
Ladir;7155;Ilanz/Glion;3619;GR;01.01.2025
Rueun;7156;Ilanz/Glion;3619;GR;01.01.2025
Pigniu;7156;Ilanz/Glion;3619;GR;01.01.2025
Siat;7157;Ilanz/Glion;3619;GR;01.01.2025
Fürstenaubruck;7413;Fürstenau;3633;GR;01.01.2025
Fürstenau;7414;Fürstenau;3633;GR;01.01.2025
Rothenbrunnen;7405;Rothenbrunnen;3637;GR;01.01.2025
Scharans;7412;Scharans;3638;GR;01.01.2025
Sils im Domleschg;7411;Sils im Domleschg;3640;GR;01.01.2025
Rothenbrunnen;7405;Cazis;3661;GR;01.01.2025
Cazis;7408;Cazis;3661;GR;01.01.2025
Rodels;7415;Cazis;3661;GR;01.01.2025
Summaprada;7421;Cazis;3661;GR;01.01.2025
Tartar;7422;Cazis;3661;GR;01.01.2025
Sarn;7423;Cazis;3661;GR;01.01.2025
Portein;7423;Cazis;3661;GR;01.01.2025
Präz;7424;Cazis;3661;GR;01.01.2025
Dalin;7424;Cazis;3661;GR;01.01.2025
Flerden;7426;Flerden;3662;GR;01.01.2025
Flerden;7426;Flerden;3662;GR;01.01.2025
Summaprada;7421;Masein;3663;GR;01.01.2025
Masein;7425;Masein;3663;GR;01.01.2025
Thusis;7430;Thusis;3668;GR;01.01.2025
Mutten;7431;Thusis;3668;GR;01.01.2025
Obermutten;7431;Thusis;3668;GR;01.01.2025
Tschappina;7428;Tschappina;3669;GR;01.01.2025
Urmein;7427;Urmein;3670;GR;01.01.2025
Versam;7104;Safiental;3672;GR;01.01.2025
Tenna;7106;Safiental;3672;GR;01.01.2025
Safien Platz;7107;Safiental;3672;GR;01.01.2025
Thalkirch;7109;Safiental;3672;GR;01.01.2025
Valendas;7122;Safiental;3672;GR;01.01.2025
Bonaduz;7402;Safiental;3672;GR;01.01.2025
Feldis/Veulden;7404;Domleschg;3673;GR;01.01.2025
Trans;7407;Domleschg;3673;GR;01.01.2025
Rodels;7415;Domleschg;3673;GR;01.01.2025
Pratval;7415;Domleschg;3673;GR;01.01.2025
Almens;7416;Domleschg;3673;GR;01.01.2025
Paspels;7417;Domleschg;3673;GR;01.01.2025
Tumegl/Tomils;7418;Domleschg;3673;GR;01.01.2025
Scheid;7419;Domleschg;3673;GR;01.01.2025
Avers;7447;Avers;3681;GR;01.01.2025
Juf;7448;Avers;3681;GR;01.01.2025
Sufers;7434;Sufers;3695;GR;01.01.2025
Andeer;7440;Andeer;3701;GR;01.01.2025
Clugin;7442;Andeer;3701;GR;01.01.2025
Pignia;7443;Andeer;3701;GR;01.01.2025
Rongellen;7430;Rongellen;3711;GR;01.01.2025
Zillis;7432;Zillis-Reischen;3712;GR;01.01.2025
Ausserferrera;7444;Ferrera;3713;GR;01.01.2025
Innerferrera;7445;Ferrera;3713;GR;01.01.2025
Innerferrera;7445;Ferrera;3713;GR;01.01.2025
Splügen;7435;Rheinwald;3714;GR;01.01.2025
Medels im Rheinwald;7436;Rheinwald;3714;GR;01.01.2025
Nufenen;7437;Rheinwald;3714;GR;01.01.2025
Hinterrhein;7438;Rheinwald;3714;GR;01.01.2025
Donat;7433;Muntogna da Schons;3715;GR;01.01.2025
Lohn GR;7433;Muntogna da Schons;3715;GR;01.01.2025
Mathon;7433;Muntogna da Schons;3715;GR;01.01.2025
Wergenstein;7433;Muntogna da Schons;3715;GR;01.01.2025
Bonaduz;7402;Bonaduz;3721;GR;01.01.2025
Domat/Ems;7013;Domat/Ems;3722;GR;01.01.2025
Rhäzüns;7403;Rhäzüns;3723;GR;01.01.2025
Felsberg;7012;Felsberg;3731;GR;01.01.2025
Flims Dorf;7017;Flims;3732;GR;01.01.2025
Flims Waldhaus;7018;Flims;3732;GR;01.01.2025
Fidaz;7019;Flims;3732;GR;01.01.2025
Tamins;7015;Tamins;3733;GR;01.01.2025
Vättis;7315;Tamins;3733;GR;01.01.2025
Trin;7014;Trin;3734;GR;01.01.2025
Tamins;7015;Trin;3734;GR;01.01.2025
Trin Mulin;7016;Trin;3734;GR;01.01.2025
Brail;7527;Zernez;3746;GR;01.01.2025
Zernez;7530;Zernez;3746;GR;01.01.2025
Susch;7542;Zernez;3746;GR;01.01.2025
Lavin;7543;Zernez;3746;GR;01.01.2025
Samnaun-Compatsch;7562;Samnaun;3752;GR;01.01.2025
Samnaun Dorf;7563;Samnaun;3752;GR;01.01.2025
Guarda;7545;Scuol;3762;GR;01.01.2025
Ardez;7546;Scuol;3762;GR;01.01.2025
Scuol;7550;Scuol;3762;GR;01.01.2025
Ftan;7551;Scuol;3762;GR;01.01.2025
Vulpera;7552;Scuol;3762;GR;01.01.2025
Tarasp;7553;Scuol;3762;GR;01.01.2025
Sent;7554;Scuol;3762;GR;01.01.2025
Vnà;7557;Scuol;3762;GR;01.01.2025
Ramosch;7556;Valsot;3764;GR;01.01.2025
Ramosch;7556;Valsot;3764;GR;01.01.2025
Vnà;7557;Valsot;3764;GR;01.01.2025
Strada;7558;Valsot;3764;GR;01.01.2025
Tschlin;7559;Valsot;3764;GR;01.01.2025
Martina;7560;Valsot;3764;GR;01.01.2025
Bever;7502;Bever;3781;GR;01.01.2025
Bever;7502;Bever;3781;GR;01.01.2025
St. Moritz;7500;Celerina/Schlarigna;3782;GR;01.01.2025
Pontresina;7504;Celerina/Schlarigna;3782;GR;01.01.2025
Celerina/Schlarigna;7505;Celerina/Schlarigna;3782;GR;01.01.2025
Madulain;7523;Madulain;3783;GR;01.01.2025
Madulain;7523;Madulain;3783;GR;01.01.2025
Pontresina;7504;Pontresina;3784;GR;01.01.2025
La Punt Chamues-ch;7522;La Punt Chamues-ch;3785;GR;01.01.2025
Samedan;7503;Samedan;3786;GR;01.01.2025
Pontresina;7504;Samedan;3786;GR;01.01.2025
Silvaplana-Surlej;7513;Samedan;3786;GR;01.01.2025
St. Moritz;7500;St. Moritz;3787;GR;01.01.2025
Champfèr;7512;St. Moritz;3787;GR;01.01.2025
S-chanf;7525;S-chanf;3788;GR;01.01.2025
Cinuos-chel;7526;S-chanf;3788;GR;01.01.2025
Chapella;7526;S-chanf;3788;GR;01.01.2025
Sils/Segl Maria;7514;Sils im Engadin/Segl;3789;GR;01.01.2025
Fex;7514;Sils im Engadin/Segl;3789;GR;01.01.2025
Sils/Segl Baselgia;7515;Sils im Engadin/Segl;3789;GR;01.01.2025
Plaun da Lej;7517;Sils im Engadin/Segl;3789;GR;01.01.2025
Champfèr;7512;Silvaplana;3790;GR;01.01.2025
Silvaplana;7513;Silvaplana;3790;GR;01.01.2025
Silvaplana-Surlej;7513;Silvaplana;3790;GR;01.01.2025
Zuoz;7524;Zuoz;3791;GR;01.01.2025
Zuoz;7524;Zuoz;3791;GR;01.01.2025
Avers;7447;Bregaglia;3792;GR;01.01.2025
Maloja;7516;Bregaglia;3792;GR;01.01.2025
Casaccia;7602;Bregaglia;3792;GR;01.01.2025
Vicosoprano;7603;Bregaglia;3792;GR;01.01.2025
Borgonovo;7604;Bregaglia;3792;GR;01.01.2025
Stampa;7605;Bregaglia;3792;GR;01.01.2025
Promontogno;7606;Bregaglia;3792;GR;01.01.2025
Bondo;7606;Bregaglia;3792;GR;01.01.2025
Castasegna;7608;Bregaglia;3792;GR;01.01.2025
Soglio;7610;Bregaglia;3792;GR;01.01.2025
Buseno;6542;Buseno;3804;GR;01.01.2025
Grono;6537;Castaneda;3805;GR;01.01.2025
Castaneda;6540;Castaneda;3805;GR;01.01.2025
Sta. Maria in Calanca;6541;Castaneda;3805;GR;01.01.2025
Rossa;6548;Rossa;3808;GR;01.01.2025
Augio;6548;Rossa;3808;GR;01.01.2025
Sta. Domenica;6548;Rossa;3808;GR;01.01.2025
Sta. Maria in Calanca;6541;Santa Maria in Calanca;3810;GR;01.01.2025
Lostallo;6558;Lostallo;3821;GR;01.01.2025
Mesocco;6563;Mesocco;3822;GR;01.01.2025
S. Bernardino;6565;Mesocco;3822;GR;01.01.2025
Soazza;6562;Soazza;3823;GR;01.01.2025
Cama;6557;Cama;3831;GR;01.01.2025
Grono;6537;Grono;3832;GR;01.01.2025
Verdabbio;6538;Grono;3832;GR;01.01.2025
Verdabbio;6538;Grono;3832;GR;01.01.2025
Leggia;6556;Grono;3832;GR;01.01.2025
Cama;6557;Grono;3832;GR;01.01.2025
Roveredo GR;6535;Roveredo (GR);3834;GR;01.01.2025
Laura;6549;Roveredo (GR);3834;GR;01.01.2025
Lumino;6533;San Vittore;3835;GR;01.01.2025
S. Vittore;6534;San Vittore;3835;GR;01.01.2025
S. Vittore;6534;San Vittore;3835;GR;01.01.2025
Arvigo;6543;Calanca;3837;GR;01.01.2025
Braggio;6544;Calanca;3837;GR;01.01.2025
Selma;6545;Calanca;3837;GR;01.01.2025
Cauco;6546;Calanca;3837;GR;01.01.2025
Tschierv;7532;Val Müstair;3847;GR;01.01.2025
Fuldera;7533;Val Müstair;3847;GR;01.01.2025
Lü;7534;Val Müstair;3847;GR;01.01.2025
Valchava;7535;Val Müstair;3847;GR;01.01.2025
Sta. Maria Val Müstair;7536;Val Müstair;3847;GR;01.01.2025
Müstair;7537;Val Müstair;3847;GR;01.01.2025
Davos Dorf;7260;Davos;3851;GR;01.01.2025
Davos Wolfgang;7265;Davos;3851;GR;01.01.2025
Davos Platz;7270;Davos;3851;GR;01.01.2025
Davos Clavadel;7272;Davos;3851;GR;01.01.2025
Davos Frauenkirch;7276;Davos;3851;GR;01.01.2025
Davos Glaris;7277;Davos;3851;GR;01.01.2025
Davos Monstein;7278;Davos;3851;GR;01.01.2025
Davos Wiesen;7494;Davos;3851;GR;01.01.2025
Fideris;7235;Fideris;3861;GR;01.01.2025
Furna;7232;Furna;3862;GR;01.01.2025
Pragg-Jenaz;7231;Jenaz;3863;GR;01.01.2025
Furna;7232;Jenaz;3863;GR;01.01.2025
Jenaz;7233;Jenaz;3863;GR;01.01.2025
Saas im Prättigau;7247;Klosters;3871;GR;01.01.2025
Serneus;7249;Klosters;3871;GR;01.01.2025
Klosters;7250;Klosters;3871;GR;01.01.2025
Klosters Dorf;7252;Klosters;3871;GR;01.01.2025
Davos Wolfgang;7265;Klosters;3871;GR;01.01.2025
Conters im Prättigau;7241;Conters im Prättigau;3881;GR;01.01.2025
Küblis;7240;Küblis;3882;GR;01.01.2025
Lunden;7222;Luzein;3891;GR;01.01.2025
Buchen im Prättigau;7223;Luzein;3891;GR;01.01.2025
Putz;7224;Luzein;3891;GR;01.01.2025
Stels;7226;Luzein;3891;GR;01.01.2025
Küblis;7240;Luzein;3891;GR;01.01.2025
Luzein;7242;Luzein;3891;GR;01.01.2025
Pany;7243;Luzein;3891;GR;01.01.2025
Gadenstätt;7244;Luzein;3891;GR;01.01.2025
Ascharina;7245;Luzein;3891;GR;01.01.2025
St. Antönien;7246;Luzein;3891;GR;01.01.2025
Chur;7000;Chur;3901;GR;01.01.2025
Haldenstein;7023;Chur;3901;GR;01.01.2025
Maladers;7026;Chur;3901;GR;01.01.2025
Malix;7074;Chur;3901;GR;01.01.2025
Chur;7000;Churwalden;3911;GR;01.01.2025
Passugg;7062;Churwalden;3911;GR;01.01.2025
Malix;7074;Churwalden;3911;GR;01.01.2025
Churwalden;7075;Churwalden;3911;GR;01.01.2025
Parpan;7076;Churwalden;3911;GR;01.01.2025
Castiel;7027;Arosa;3921;GR;01.01.2025
Lüen;7027;Arosa;3921;GR;01.01.2025
Calfreisen;7027;Arosa;3921;GR;01.01.2025
St. Peter;7028;Arosa;3921;GR;01.01.2025
Pagig;7028;Arosa;3921;GR;01.01.2025
Peist;7029;Arosa;3921;GR;01.01.2025
Arosa;7050;Arosa;3921;GR;01.01.2025
Molinis;7056;Arosa;3921;GR;01.01.2025
Langwies;7057;Arosa;3921;GR;01.01.2025
Litzirüti;7058;Arosa;3921;GR;01.01.2025
Davos Dorf;7260;Arosa;3921;GR;01.01.2025
Praden;7063;Chur;3901;GR;01.01.2025
Tschiertschen;7064;Chur;3901;GR;01.01.2025
Says;7202;Trimmis;3945;GR;01.01.2025
Trimmis;7203;Trimmis;3945;GR;01.01.2025
Valzeina;7213;Trimmis;3945;GR;01.01.2025
Untervaz;7204;Untervaz;3946;GR;01.01.2025
Zizers;7205;Zizers;3947;GR;01.01.2025
Landquart;7302;Zizers;3947;GR;01.01.2025
Maienfeld;7304;Fläsch;3951;GR;01.01.2025
Fläsch;7306;Fläsch;3951;GR;01.01.2025
Jenins;7307;Jenins;3952;GR;01.01.2025
Landquart;7302;Maienfeld;3953;GR;01.01.2025
Maienfeld;7304;Maienfeld;3953;GR;01.01.2025
Malans GR;7208;Malans;3954;GR;01.01.2025
Untervaz;7204;Landquart;3955;GR;01.01.2025
Igis;7206;Landquart;3955;GR;01.01.2025
Landquart;7302;Landquart;3955;GR;01.01.2025
Mastrils;7303;Landquart;3955;GR;01.01.2025
St. Margrethenberg;7313;Landquart;3955;GR;01.01.2025
Valzeina;7213;Grüsch;3961;GR;01.01.2025
Grüsch;7214;Grüsch;3961;GR;01.01.2025
Fanas;7215;Grüsch;3961;GR;01.01.2025
Grüsch;7214;Schiers;3962;GR;01.01.2025
Schiers;7220;Schiers;3962;GR;01.01.2025
Schiers;7220;Schiers;3962;GR;01.01.2025
Lunden;7222;Schiers;3962;GR;01.01.2025
Stels;7226;Schiers;3962;GR;01.01.2025
Stels;7226;Schiers;3962;GR;01.01.2025
Fajauna;7226;Schiers;3962;GR;01.01.2025
Schuders;7228;Schiers;3962;GR;01.01.2025
Pusserein;7228;Schiers;3962;GR;01.01.2025
Seewis Dorf;7212;Seewis im Prättigau;3972;GR;01.01.2025
Seewis-Pardisla;7212;Seewis im Prättigau;3972;GR;01.01.2025
Seewis-Schmitten;7212;Seewis im Prättigau;3972;GR;01.01.2025
Fanas;7215;Seewis im Prättigau;3972;GR;01.01.2025
Obersaxen;7134;Breil/Brigels;3981;GR;01.01.2025
Waltensburg/Vuorz;7158;Breil/Brigels;3981;GR;01.01.2025
Andiast;7159;Breil/Brigels;3981;GR;01.01.2025
Tavanasa;7162;Breil/Brigels;3981;GR;01.01.2025
Danis;7163;Breil/Brigels;3981;GR;01.01.2025
Dardin;7164;Breil/Brigels;3981;GR;01.01.2025
Breil/Brigels;7165;Breil/Brigels;3981;GR;01.01.2025
Disentis/Mustér;7180;Disentis/Mustér;3982;GR;01.01.2025
Cavardiras;7182;Disentis/Mustér;3982;GR;01.01.2025
Mumpé Medel;7183;Disentis/Mustér;3982;GR;01.01.2025
